Abbreviation,Name,Formula (neutral),Formula (Charged),Charge,Compartment,KEGG ID,PubChemID,CheBI ID,Inchi String,Smiles
cpd11587[e],Ala-Gln,,C8H15N3O4,0,,,,,,
cpd11587[c],Ala-Gln,,C8H15N3O4,0,,,,,,
cpd11586[e],ala-L-glu-L,,C8H13N2O5,-1,,,,,,
cpd11586[c],ala-L-glu-L,,C8H13N2O5,-1,,,,,,
cpd11585[e],L-alanylglycine,,C5H10N2O3,0,,,,,,
cpd11585[c],L-alanylglycine,,C5H10N2O3,0,,,,,,
cpd11584[e],Ala-His,,C9H14N4O3,0,,,,,,
cpd11584[c],Ala-His,,C9H14N4O3,0,,,,,,
cpd11583[e],Ala-Leu,,C9H18N2O3,0,,,,,,
cpd11583[c],Ala-Leu,,C9H18N2O3,0,,,,,,
cpd11582[e],ala-L-Thr-L,,C7H14N2O4,0,,,,,,
cpd11582[c],ala-L-Thr-L,,C7H14N2O4,0,,,,,,
cpd11581[e],gly-asn-L,,C6H11N3O4,0,,,,,,
cpd11581[c],gly-asn-L,,C6H11N3O4,0,,,,,,
cpd11580[e],Gly-Gln,,C7H13N3O4,0,,,,,,
cpd11580[c],Gly-Gln,,C7H13N3O4,0,,,,,,
cpd01242[e],Thyminose,,C5H10O4,0,,,,,,
cpd01242[c],Thyminose,,C5H10O4,0,,,,,,
cpd00162[e],Aminoethanol,,C2H8NO,0,,C00189,,,,
cpd00652[e],D-Mucic_acid,,C6H8O8,-2,,,,,,
cpd00652[c],D-Mucic_acid,,C6H8O8,-2,,,,,,
cpd00609[e],D-Glucarate,,C6H8O8,-2,,,,,,
cpd00609[c],D-Glucarate,,C6H8O8,-2,,,,,,
cpd00164[e],Glucuronate,,C6H9O7,-1,,,,,,
cpd00164[c],Glucuronate,,C6H9O7,-1,,,,,,
cpd01262[e],Amylotriose,,C18H32O16,0,,,,,,
cpd01262[c],Amylotriose,,C18H32O16,0,,,,,,
cpd01914[e],L-Methionine S-oxide,,C5H11NO3S,0,,C02989,,,,
cpd11576[e],L-methionine_R-oxide,,C5H11NO3S,0,,,,,,
cpd11576[c],L-methionine_R-oxide,,C5H11NO3S,0,,,,,,
cpd11575[e],MOPS,,C7H14NO4S,-1,,,,,,
cpd11575[c],MOPS,,C7H14NO4S,-1,,,,,,
cpd00550[e],D-Serine,,C3H7NO3,0,,C00740,,,,
cpd09878[e],Sulfoacetate,,C2H2O5S,-2,,,,,,
cpd09878[c],Sulfoacetate,,C2H2O5S,-2,,,,,,
cpd00280[e],D-Galacturonate,,C6H9O7,-1,,C00333,,,,
cpd00280[c],D-Galacturonate,,C6H9O7,-1,,C00333,,,,
cpd00211[e],Butyrate,,C4H7O2,0,,C00246,,,,
cpd00412[e],Deoxyuridine,,C9H12N2O5,0,,C00526,,,,
cpd03279[e],Deoxyinosine,,C10H12N4O4,0,,C05512,,,,
cpd00277[e],Deoxyguanosine,,C10H13N5O4,0,,C00330,,,,
cpd00653[e],D-Galactonate,,C6H11O7,-1,,,,,,
cpd00653[c],D-Galactonate,,C6H11O7,-1,,C00880,,,,
cpd01329[e],Maltohexaose,,C36H62O31,0,,,,,,
cpd01329[c],Maltohexaose,,C36H62O31,0,,,,,,
cpd15661[c],Prenol-45n teichoic acid,,C206H386N2O242P47,-47,,,,,,
cpd15665[c],Peptidoglycan polymer (n subunits),,C80H125N16O42R,-4,,,,,,
cpd15667[c],"glycerol teichoic acid (n=45), linked, unsubstituted",,C191H359N10O259P46R,-48,,,,,,
cpd15662[c],Prenol-45n teichoic acid-glucose substituted,,C476H836N2O467P47,-47,,,,,,
cpd15669[c],"glycerol teichoic acid (n=45), linked, glucose substituted",,C461H809N10O484P46R,-48,,,,,,
cpd15663[c],Prenol-45n teichoic acid-alanine substituted,,C341H611N47O287P47,-47,,,,,,
cpd15668[c],"glycerol teichoic acid (n=45), linked, D-ala substituted",,C326H584N55O304P46R,-48,,,,,,
cpd00531[c],Hg2+,,Hg,2,,,,,,
cpd00531[e],Hg2+,,Hg,2,,,,,,
cpd04097[c],Pb_Pb,,Pb,2,,C06696,,,,
cpd04097[e],Pb_Pb,,Pb,2,,C06696,,,,
cpd00012[e],PPi,,H2O7P2,0,,C00013,,,,
cpd00797[e],(R)-3-Hydroxybutanoate,,C4H7O3,0,,C01089,,,,
cpd15603[e],Gly-Cys,,C5H10N2O3S,0,,,,,,
cpd15603[c],Gly-Cys,,C5H10N2O3S,0,,,,,,
cpd15604[e],Gly-Leu,,C8H16N2O3,0,,,,,,
cpd15604[c],Gly-Leu,,C8H16N2O3,0,,,,,,
cpd15605[e],Gly-Phe,,C11H14N2O3,0,,,,,,
cpd15605[c],Gly-Phe,,C11H14N2O3,0,,,,,,
cpd15606[e],Gly-Tyr,,C11H14N2O4,0,,,,,,
cpd15606[c],Gly-Tyr,,C11H14N2O4,0,,,,,,
cPY00116[e],phosphoethanolamine KDO(2)-lipid (A),,C112H202N3O42P3,-6,,,,,,
cpd00063[e],Ca2+,,Ca,2,,,,,,
cpd00099[e],Cl-,,Cl,-1,,,,,,
cpd00108[e],Galactose,,C6H12O6,0,,,,,,
cpd00117[e],D-Alanine,,C3H7NO2,0,,C00133,,,,
cpd00176[e],2-keto-3-deoxygluconate,,C6H9O6,-1,,,,,,
cpd00395[e],L-Cysteate,,C3H6NO5S,-1,,,,,,
cpd00635[e],Cbl,,C62H89CoN13O14P,0,,,,,,
cpd01015[e],Cyanate,,CNO,0,,C01417,,,,
cpd01048[e],Arsenate,,HO4As,0,,C01478|C11215,,,,
cpd03048[e],Isethionate,,C2H5O4S,-1,,,,,,
cpd04098[e],Arsenite,,H3O3As,0,,C06697,,,,
cpd11416[c],Biomass,,,0,,,,,,
cpd00141[e],Propionate,,C3H5O2,-1,,,,,,
cPY00016[e],Mannose,,C6H12O6,0,,,,,,
cpd01307[e],D-Lyxitol,,C5H12O5,0,,,,,,
cJB00034[e],L-Sorbose,,,0,,,,,,
cpd00306[e],Xylitol,,C5H12O5,0,,,,,,
cpd03320[c],3-Hydroxyphenylacetate,,C8H8O3,0,,,,,,
cpd00510[c],deoxyribose-5-phosphate,,C5H10O7P,-1,,,,,,
cpd01735[c],Glucurone,,C6H8O6,0,,,,,,
cpd01844[c],Propionyl_phosphate,,C3H6O5P,-1,,,,,,
cpd03560[c],Propionyladenylate,,C13H17N5O8P,-1,,,,,,
cpd00141[c],Propionate,,C3H5O2,-1,,,,,,
cpd15500[c],Menaquinone_8,,C51H72O2,0,,,,,,
cpd15499[c],Menaquinol_8,,C51H74O2,0,,,,,,
cpd15560[c],Ubiquinone-8,,C49H74O4,0,,,,,,
cpd03187[c],Oxalosuccinate,,C6H3O7,-3,,,,,,
cpd01949[c],"(S,S)-2,3-Butanediol",,C4H10O2,0,,C03046,,,,
cpd01221[c],(S)-Acetoin,,C4H8O2,0,,C01769,,,,
cpd00331[c],cis-Aconitate,,C6H3O6,-3,,C00417,,,,
cpd00331[e],cis-Aconitate,,C6H3O6,-3,,C00417,,,,
cpd00158[c],CELB,,C12H22O11,0,,C00185,,,,
cpd00380[c],Itaconate,,C5H4O4,-2,,C00490,,,,
cpd00380[e],Itaconate,,C5H4O4,-2,,C00490,,,,
cpd00416[c],Itaconyl-CoA,,C26H36N7O19P3S,-4,,C00531,,,,
cpd00743[c],L-Citramalyl-CoA,,C26H38N7O20P3S,-4,,C01011,,,,
cpd03831[c],ADP-L-glycero-D-manno-heptose,,C17H25N5O16P2,-2,,C06398,,,,
cpd08615[c],1-Hydroxy-2-methyl-2-butenyl 4-diphosphate,,C5H10O8P2,-2,,C11811,,,,
cpd00202[c],DMAPP,,C5H10O7P2,-2,,C00235|C17627,,,,
cpd16764[c],"2-nonaprenyl-3-methyl-6-methoxy-1,4-benzoquinol",,C53H82O3,0,,,,,,
cpd16765[c],2-nonaprenyl-6-hydroxyphenol,,C51H78O2,0,,,,,,
cpd16766[c],"2-nonaprenyl-6-methoxy-1,4-benzoquinol",,C52H80O3,0,,,,,,
cpd16767[c],2-nonaprenyl-6-methoxyphenol,,C52H80O2,0,,,,,,
cpd16768[c],2-nonaprenylphenol,,C51H78O,0,,,,,,
cpd02172[c],Solanesyl diphosphate,,C45H74O7P2,-2,,C04145,,,,
cpd02419[c],Nonaprenyl-4-hydroxybenzoate,,C52H77O3,-1,,C03885,,,,
cJB00124[c],3-Demethylubiquinol-9,,C53H82O4,-1,,C03226,,,,
cJB00125[c],Ubiquinol-9,,C54H84O4,0,,C01967,,,,
cpd11624[c],Lecithin,,C10H18NO8PR2,0,,C00157,,,,
cpd15428[c],clpn160,,C73H140O17P2,-2,,,,,,
cpd15430[c],clpn180,,C81H156O17P2,-2,,,,,,
cpd15429[c],clpn161,,C73H132O17P2,-2,,,,,,
cpd15431[c],clpn181,,C81H148O17P2,-2,,,,,,
cPY00120[c],pa160161,,C35H65O8P1,0,,,,,,
cPY00121[c],CDP-pa160161,,C44H77N3O15P2,0,,,,,,
cPY00130[c],pgp160161,,C38H71O13P2,0,,,,,,
cPY00131[c],pg160161,,C38H72O10P1,0,,,,,,
cPY00142[c],clpn160161,,C73H136O17P2,0,,,,,,
cPY00138[c],clpn170cyc,,None,0,,,,,,
cPY00125[c],pa180181,,C39H73O8P1,0,,,,,,
cPY00126[c],CDP-pa180181,,C48H85N3O15P2,0,,,,,,
cPY00133[c],pgp180181,,C42H79O13P2,0,,,,,,
cPY00134[c],pg180181,,C42H80O10P1,0,,,,,,
cPY00141[c],clpn180181,,C81H150O17P2,0,,,,,,
cPY00140[c],clpn190cyc,,None,0,,,,,,
cPY00122[c],ps160161,,C38H71N1O10P1,0,,,,,,
cPY00123[c],pe160161,,C37H72N1O8P1,0,,,,,,
cPY00124[c],pe170cyc,,None,0,,,,,,
cPY00127[c],ps180181,,C42H79N1O10P1,0,,,,,,
cPY00128[c],pe180181,,C41H80N1O8P1,0,,,,,,
cPY00129[c],pe190cyc,,None,0,,,,,,
cPY00132[c],pg170cyc,,None,0,,,,,,
cPY00135[c],pg190cyc,,C42H80O10P1,0,,,,,,
cpd01101[c],Carbamate,,CH2NO2,-1,,,,,,
cpd12005[c],Lipoylprotein,,CHRS2,0,,C02051,,,,
cpd12225[c],Dihydrolipolprotein,,CH3RS2,0,,C02972,,,,
cpd11830[c],S-Aminomethyldihydrolipoylprotein,,C2H7NRS2,1,,C01242,,,,
cpd01206[c],pyocyanin,,C13H12N2O,0,,,,,,
cPY00161[c],N5-hydroxy-L-ornithine,,C5H12N2O3,0,,,,,,
cPY00162[c],N5-formyl-N5-hydroxy-L-ornithine,,C6H12N2O4,0,,,,,,
cPY00163[c],ferribactin,,C56H90N18O21,0,,,,,,
cPY00164[c],pyoverdine,,C56H88N18O22,0,,,,,,
cpd00599[c],salicylate,,C7H5O3,-1,,,,,,
cpd08828[c],pyochelin,,C14H15N2O3S2,-1,,,,,,
cpd17064[c],PA_core7_lipidA,,C152H268N2O93P5,0,,,,,,
cpd17063[c],PA_core6_lipidA,,C152H271N2O84P2,0,,,,,,
cpd17062[c],PA_core5_lipidA,,C146H260N2O79P2,0,,,,,,
cpd17061[c],PA_core4_lipidA,,C134H238N2O71P2,0,,,,,,
cpd17060[c],PA_core3_lipidA,,C116H205N2O56P2,0,,,,,,
cpd17059[c],PA_core2_lipidA,,C110H194N2O51P2,0,,,,,,
cpd17058[c],PA_core1_lipidA,,C103H181N2O45P2,0,,,,,,
cpd17088[c],rha4glcnacppund,,C88H156P6O39N4,0,,,,,,
cpd17056[c],Pseudomonas aeruginosa A-band lipopolysaccharide,,C189H341P9O127N8,0,,,,,,
cpd17087[c],rha3glcnacppund,,C82H143P5O32N4,0,,,,,,
cpd17086[c],rha1glcnacppund,,C70H117P3O18N4,0,,,,,,
cJB00127[c],cis-2-Decenoic acid,,C10H17O2,-1,,,,,,
cpd02103[c],N2-Succinyl-L-arginine,,C10H17N4O5,-1,,C03296,,,,
cpd02160[c],N2-Succinyl-L-ornithine,,C9H15N2O5,-1,,C03415,,,,
cpd03526[c],N-Succinyl-L-glutamate 5-semialdehyde,,C9H11NO6,-2,,C05932,,,,
cJB00127[e],cis-2-Decenoic acid,,C10H17O2,-1,,,,,,
